,edge,source,target
1516,of,Governing Law,People's Republic of China
1517,of,Governing Law,Washington
1518,of,Governing Law,Illinois; New York
1519,of,Governing Law,Pennsylvania
1520,of,Governing Law,Germany
1521,of,Governing Law,"Virginia, Texas"
1522,of,Governing Law,Connecticut
1523,of,Governing Law,Georgia
1524,of,Governing Law,[]
1525,of,Governing Law,California; the state in which the breach occurs
1526,of,Governing Law,Arizona
1527,of,Governing Law,Hong Kong
1528,of,Governing Law,United States
1529,of,Governing Law,"British Columbia, Canada"
1530,of,Governing Law,Massachusetts
1531,of,Governing Law,THE STATE IN WHICH THE FRANCHISED RESTAURANT IS LOCATED; THE UNITED STATES TRADEMARK ACT OF 1946
1532,of,Governing Law,"England and Wales, UK"
1533,of,Governing Law,Beijing
1534,of,Governing Law,India
1535,of,Governing Law,Minnesota
1536,of,Governing Law,Oklahoma
1537,of,Governing Law,New Jersey
1538,of,Governing Law,Papua New Guinea
1539,of,Governing Law,Wisconsin
1540,of,Governing Law,Massachusetts; Netherlands
1541,of,Governing Law,Missouri
1542,of,Governing Law,North Carolina
1543,of,Governing Law,Colombia
1544,of,Governing Law,Arkansas
1545,of,Governing Law,"Province of Ontario, Canada"
1546,of,Governing Law,Republic of Kazakhstan
1547,of,Governing Law,China
1548,of,Governing Law,British Columbia
1549,of,Governing Law,Japan
1550,of,Governing Law,Italy
1551,of,Governing Law,District of Columbia
1552,of,Governing Law,"Victoria, Australia"
1553,of,Governing Law,England and Wales
1554,of,Governing Law,South Dakota
1555,of,Governing Law,"Delaware, Illinois"
1556,of,Governing Law,Louisiana
1557,of,Governing Law,"Nova Scotia, Canada"
1558,of,Governing Law,England; Wales
1559,of,Governing Law,Switzerland
1560,of,Governing Law,Republic of South Africa
1561,of,Governing Law,New York; Massachussets
1562,of,Governing Law,Kentucky
1563,of,Governing Law,California; Hong Kong
1564,of,Governing Law,"British Columbia,Canada"
1565,of,Governing Law,Federal Republic of Germany
