,source,edge,target,SourceType,TargetType,0: Legal_Related_Terms,
1234,Cost,Borne By,Owner,6,6,,
1235,Owner,Have,Right,6,0,,
1236,Audit,Interfere With,Operation,6,8,,
1237,Hemispherx,Permit,Scien,1,1,,
1238,Audit,Conducted Upon,Notice,6,8,,
1239,Hemispherx,Perform,Audit,1,6,,
1240,Hemispherx,Review,Standard Operating Quality Control Procedure,1,6,,
1241,General  Review,Be Requested In,20 Business Day,0,6,,
1242,Scien,Make,Effort,1,8,,
1243,Hemispherx,Communicate To,Scien,1,1,,
1244,Documentation,Be Available For,Inspection,8,8,,
1245,Physical Inventory,Conducted By,September 30,6,8,,
1246,Monsanto,Have,Right,1,0,,
1247,Audit,Is At,Cost,6,6,,
1248,Monsanto,Provide,Written  Notice,1,8,,
1249,Steering Agent,Permit,Monsanto,7,1,,
1250,Remarketing Agent,Keep,Book,7,6,,
1251,Cost,Is For,Inspection,6,8,,
1252,Record,Make Available,Accuracy,8,8,,
1253,Subcontractor,Agree,Manufacturer,7,6,,
1254,Subcontractor,Provide,Schedule,7,8,,
1255,Record,Made Available To,Manufacturer,8,6,,
1256,Manufacturer,Review At,Routine  Report,6,8,,
1257,Audit,Find,Discrepancy,6,8,,
1258,Detto,Make,Physical Set Up,1,8,,
1259,Pivx,Have,Right,1,0,,
1260,Licensor,Enter,Location,7,8,,
1261,Licensor,Provide,Assistance,7,8,,
1262,Pnc,Provide,Reason,1,8,,
1264,Supplier,Use,Effort,6,8,,
1265,Party,Make,Book,0,6,,
1266,Party,Undertaken By,Public Accountant,0,7,,
1267,Fusion,Have,Right,1,0,,
1268,Cpdc,Conform To,Right,1,0,,
1269,Cpdc,Retain,Accurate  Record,1,8,,
1270,Shipment,Accompanied By,Certificate,8,0,,
1271,Cpdc,Have,Right,1,0,,
1272,Intersect,Inspect,Api,6,6,,
1273,Record,Made Available For,Review,8,8,,
1274,Sutrovax,Perform,Site Audit,1,6,,
1275,Advance Notice,Require,Notice,8,8,,
1276,Sutro,Is Responsible For,Auditing,1,6,,
1277,Sutro,Provide,Sutrovax,1,5,,
1278,Mediwound,Make,Record,1,8,,
1280,Healthgate,Accommodate,Employee,1,8,,
1281,Written  Notice,Have,Right  To Conduct,8,8,,
1282,Healthgate,Make Available,Inspection,1,8,,
1283,Publisher,Have,Right,8,0,,
1284,Healthgate,Allow,Site,1,8,,
1285,Bioamber,Have,Right,1,0,,
1286,Netgear,Request,Access,1,8,,
1287,Netgear,Review,Record,1,8,,
1288,Licensor,Have,Right,7,0,,
1289,Licensee,Have,Right,7,0,,
1290,Audit,Conducted During,Normal Business Hour,7,8,,
1291,Roger,Assign,Right,2,0,,
1292,Change Of Control,Considered,Assignment,8,0,,
1293,Licensee,Assign,Right,7,0,,
1294,Licensee,Have,Right,7,0,,
1295,Licensee,Sublicense,Right,7,0,,
1297,Agreement,Assigned By,Deltathree,6,1,,
1298,Agreement,Assigned By,Primecall,6,1,,
1302,The Other  Party,Given,Written  Notice,0,8,,
1303,Death,Terminated By,Musclepharm,6,1,,
1304,License,Be Personal To,Musclepharm,0,1,,
1305,Musclepharm,Assign,Right,1,0,,
1307,License,Permitted,Right,0,0,,
1309,Party,Obtain In,Agreement,0,6,,
1311,Exxonmobil,Assign,Agreement,1,6,,
1312,Purported  Assignment,Assign,Right,6,0,,
1313,Distributor,Sublicense,Right,6,0,,
1314,Supplier,Give,Notice,6,8,,
1315,Distributor,Subcontract,Obligation,6,0,,
1317,Distributor,Assign,Right,6,0,,
1318,Distributor,Assign To,Duty,6,8,,
1320,Hydraspin,Assign,Agreement,1,6,,
1321,Assignment,Release,Assigning Party,6,0,,
1324,Assignment,Require,Consent,6,0,,
1325,License,Terminate In,Event,0,8,,
1326,Investor,Assign,Right,6,0,,
1328,Village Media Company,Assign,Right,1,0,,
1329,Vyera,Assign,Agreement,1,6,,
1330,Cytodyn,Assign,Agreement,1,6,,
1333,Party,Assign,Duty,0,8,,
1338,Dexcel,Considered,Agreement,1,6,,
1341,Programmer,Assign,Agreement,8,6,,
1344,Supplier,Assign,Agreement,6,6,,
1347,Merger,Provided,Comparable  Assignment,1,6,,
1348,Party,Desire,Assignment,0,6,,
1349,Mmt,Grant,Sublicense,1,0,,
1350,Supplier,Assign,Agreement,6,6,,
1352,Party,Provided,Right,0,0,,
1353,Channel Partner,Assign,Agreement,8,6,,
1357,Agreement,Assigned By,Depositor,6,6,,
1358,Newegg,Have,Right,1,0,,
1360,Manufacturer,Transfer,Right,6,0,,
1361,Customer,Transfer,Right,6,0,,
1364,Transfer,Deemed,Assignment,6,6,,
1365,Agreement,Assigned By,Buyer,6,8,,
1368,Licensed  User,Assign,Agreement,8,6,,
1369,Agreement,Assigned By,Licensee,6,7,,
1371,Agreement,Be Terminable,Licensee,6,7,,
1372,Licensee,Sublicense,Part,7,0,,
1376,Acsi,Assign,Agreement,1,6,,
1379,Party,Permitted,Agreement,0,6,,
1383,Attemptto,Assign,Agreement,1,6,,
1384,Agreement,Assigned By,Mphase,6,1,,
1385,Verticalnet,Transfer,Agreement,1,6,,
1388,Assigning Party,Assign,Notice,0,8,,
1392,Network Affiliate,Assign,Right,1,0,,
1395,Agreement,Binding On,Transferee,6,7,,
1396,Agreement,Assigned By,Affiliate,6,1,,
1398,Berkshire,Assign,Agreement,1,6,,
1399,Company,Sublicense,Licensed Mark,1,0,,
1403,Agreement,Assigned By,Party,6,0,,
1404,Agreement,Terminate In,Event,6,8,,
1406,Developer,Assign,Obligation,8,0,,
1408,Agreement,Assigned By,Operation Of Law,6,0,,
1410,Dr. Murray,Has,Qualification,2,8,,
1412,Abbvie,Use,Affiliate,1,1,,
1414,Developer,Assign,Agreement,8,6,,
1415,Right,Cease,Sale,0,6,,
1416,T&B,Grant,Third  Party,1,0,,
1419,Liquidmetal,Have,Right,1,0,,
1420,Licensee,Assign,License,7,0,,
1421,Licensor,Assign,Agreement,7,6,,
1422,Pb,Sell,Right,1,0,,
1423,Sfj,Sell,Agreement,1,6,,
1424,Sanofi,Have,Right,1,0,,
1426,Sanofi,Assign,Agreement,1,6,,
1428,Sekisui,Assign,Agreement,1,6,,
1433,Licensee,Have,Right,7,0,,
1434,Licensee,Sublicense,Right,7,0,,
1439,Agreement,Assigned By,Distributor,6,6,,
1440,Distributor,Have,Right,6,0,,
1441,Staar,Assign,Right,1,0,,
1442,Other  Party,Included In,Access,0,8,,
1444,Arizona,Assign,Right,1,0,,
1445,Third Party Contractor,Permitted,Right,7,0,,
1446,Licensee,Assign,Right,7,0,,
1447,Licensor,Assign,Agreement,7,6,,
1448,You,Make,Transfer,2,6,,
1449,Ef,Assign,Agreement,1,6,,
1450,Distributor,Assign,Right,6,0,,
1451,Customer,Have,Right,6,0,,
1452,Party,Assign,Obligation,0,0,,
1453,Premier,Assign,Agreement,7,6,,
1456,Agreement,Assigned,Consultant,6,7,,
1457,Party,Delegate,Performance,0,8,,
1458,Agreement,Be Assignable By,Party,6,0,,
1459,Consultant,Entitled,Right,7,0,,
1460,Consultant,Sell,Right,7,0,,
1461,Agreement,Be Personal To,Consultant,6,7,,
1462,Agreement,Binding Upon,Benefit,6,6,,
1463,Transfer,Constitute,Breach,6,0,,
1464,Agreement,Be Assignable By,Consultant,6,7,,
1468,Lmg,Subcontract,Duty,1,8,,
1469,You,Make,Transfer,2,6,,
1470,Guaranty,Be Personal To,You,6,2,,
1471,Agreement,Inure To,Benefit,6,6,,
1473,Provider,Assign,Agreement,6,6,,
1475,Sub Advisor,Assign,Right,7,0,,
1476,Cro,Subcontract,Part,1,0,,
1477,Cro,Assign,Right,1,0,,
1479,Agreement,Terminate In,Event,6,8,,
1482,Party,Make,Collateral Assignment,0,6,,
1483,Service Recipient,Assign,Right,6,0,,
1484,Service Provider,Assign,Right,6,0,,
1485,Agreement,Assigned By,Operation Of Law,6,0,,
1487,Agreement,Assigned By,Tda,6,1,,
1489,Servicer,Terminate,Agreement,6,6,,
1491,Agreement,Assigned By,Sponsor,0,6,,
1492,Sponsor,Have,Right,6,0,,
1493,Agreement,Assigned By,Forty Niners Sc,6,1,,
1494,Agreement,Assigned By,Xc,6,1,,
1502,Contractor,Assign,Agreement,7,6,,
1504,Company,Provide,Written  Notice,1,6,,
1507,Datec,Assign,Agreement,1,6,,
1509,Assignee,Assign,Agreement,7,6,,
1514,Msl,Assign,Agreement,1,6,,
1515,Msl,Assign,Anyright,1,0,,
1516,Msl,Assign,Agreement,1,6,,
1520,Agreement,Assigned By,Schoolpop,6,8,,
1521,Agreement,Assigned By,Seller,6,6,,
1523,Mcdatum,Assign,Agreement,1,0,,
1524,Nat,Assign,Medianet Group Consent,1,0,,
1528,Party,Assign,Respective  Right,0,0,,
1529,Agreement,Assigned By,Party,6,0,,
1530,Bellicum,Agree,Written  Consent,1,0,,
1531,Fcc,Assign,Right,1,0,,
1532,Party,Agree,Termination,0,1,,
1533,Unauthorized  Assignment,Assign,Contract,6,1,,
1534,Assignee,Be,Legal Person,7,2,,
1535,Assignee,Has,Financial  Capacity,7,6,,
1536,Assignee,Has,Crude,7,5,,
1537,Assignee,Provide,Bond Payment,7,6,,
1538,Party,Sell,Agreement,0,6,,
1541,Party,Entitled,Right,0,0,,
1542,Shipper,Assign,Agreement,8,6,,
1543,Green Cro,Grant,Sublicense,1,1,,
1545,Party B,Transfer,Cooperation Business,0,6,,
1546,Party B,Deemed,Breaching  Liability,0,0,,
1548,Party,Subcontract,Activity,0,8,,
1551,Nantz Communication,Assign,Right,1,0,,
1552,Right,Grant,Company,0,1,,
1557,Company,Subcontract With,Affiliate,1,6,,
1558,Company,Use,Affiliate,1,6,,
1561,Title,Remain In,Name,8,8,,
1568,You,Grant,Right,2,0,,
1569,Legal,Sell,Directly  Interest,0,6,,
1570,Change,Deemed,Transfer,6,6,,
1571,Purported  Assignment,Constitute,Material  Breach,6,0,,
1572,Person,Transfer,Interest,2,6,,
1573,Disposition,Transfer,Interest,6,6,,
1574,Limited Power Of Attorney,Bind,Respective  Successor,1,7,,
1577,Nvo,Have,Right,1,0,,
1578,Party,Provided,Consent,0,0,,
1583,Assignment,Require,Consent,6,0,,
1585,Agency,Assign,Agreement,7,6,,
1588,Agreement,Be Binding Upon,Benefit,6,6,,
1590,Agreement,Assigned By,Party,6,0,,
1591,Party,Assign,Agreement,0,6,,
1592,Party,Transfer,Right,0,0,,
1593,Right,Be Personal To,Party,0,0,,
1594,Subcontractor,Assign,Right,7,0,,
1595,Service,Are Of,Personal Nature,5,6,,
1597,License,Be Specific To,Usa Mco,0,1,,
1599,Intricon,Assign,Right,1,0,,
1600,Dynamic  Hearing,Assign,Right,1,0,,
1601,Lbio,Assign,Agreement,2,6,,
1602,Md Anderson,Acknowledge,Consultant,2,7,,
1604,Benefit,Inure To,Respective Successor,6,7,,
1605,Company,Subcontract,Obligation,1,0,,
1607,Agreement,Assigned By,Party,6,0,,
1608,Agreement,Be Assignable By,Agent,6,7,,
1609,Provision,Binding Upon,Benefit,0,6,,
1612,Ontochem,Engage,Subcontractor,1,7,,
1616,Agreement,Be Assignable By,Third Party,6,0,,
1617,Party,Assign,Right,0,0,,
1618,Right,Be Assignable By,Party,0,0,,
1619,Party,Assign,Right,0,0,,
1620,Term,Binding Upon,Party,0,0,,
1621,Cere,Have,Right,1,0,,
1622,Party,Have,Right,0,0,,
1623,Cere,Have,Right,1,0,,
1624,Party,Have,Right,0,0,,
1625,Party,Assign,Right,0,0,,
1627,Ip Agreement,Binding Upon,Benefit,0,6,,
1628,Herc,Assign,Obligation,2,0,,
1630,Party,Sell,Right,0,0,,
1631,Party,Assign,Ip Agreement,0,0,,
1632,Seller,Condition,Assignment,6,6,,
1633,Purchaser,Condition,Assignment,6,6,,
1636,Distributor,Assign,Right,6,0,,
1638,Agreement,Be Assignable By,Distributor,0,6,,
1639,Distributor,Assign,Agreement,6,0,,
1641,Assignment,Require,Written  Consent,6,0,,
1642,Ppg Shanghai,Hage,Right,1,0,,
1645,Shipper,Have,Right,8,0,,
1646,Party,Assign,Contract,0,6,,
1648,Adams Golf,Have,Right,1,0,,
1649,Agreement,Be Personal To,Diplomat,6,8,,
1650,Ki  Inc.May,Assign,Right,1,0,,
1653,Right,Used By,Company,0,1,,
1655,Company,Be Entitled,Agreement,1,6,,
1656,Tpc,Have,Consolidated Right,1,0,,
1657,Right,Used By,Company,0,1,,
1658,Pey Dirt,Have,Right,1,0,,
1661,Agreement,Binding Upon,Benefit,6,6,,
1662,Right,Created By,Agreement,0,6,,
1664,You,Transfer,Interest,2,6,,
1665,Principal,Assign,Beneficial Equity Interest,6,6,,
1666,You,Understand,Franchise,2,6,,
1667,Purported  Assignment,Constitute,Material Breach,6,0,,
1668,You,Agree,Interest,2,6,,
1669,Transfer,Constitute,Breach,6,0,,
1670,Proposed New Owner,Make,Transfer,6,6,,
1671,You,Pay,Amount,2,6,,
1672,Proposed New Owner,Be Responsible,Initial Training Program,6,8,,
1673,You,Require,Performance,2,8,,
1674,You,Offered,Opportunity,2,8,,
1677,Host,Have,Right,6,0,,
1678,Party,Assign,Right,0,0,,
1679,Agreement,Binding Upon,Party,6,0,,
1682,Customer,Assign,Agreement,6,6,,
1683,Party,Transfer,Agreement,0,6,,
1685,Apollo,Assign,Agreement,1,6,,
1687,Bachem,Assign,Agreement,2,6,,
1688,Bachem,Assign,Right,2,0,,
1689,Lac,Notify,Approval,1,0,,
1691,Party,Assign,Right,0,0,,
1692,Party,Have,Right,0,0,,
1695,Licensee,Sell,Licensed  Program,7,0,,
1696,Licensee,Agree,Right,7,0,,
1697,Licensee,Assign,Agreement,7,6,,
1698,Sparkling,Assign,Agreement,1,6,,
1703,Party,Assign,Right,0,0,,
1704,Assignment,Entitled,Right,6,0,,
1705,Customer,Assign,Right,6,0,,
1706,Company,Sell,Right,1,0,,
1707,Operator,Make,Assignment,6,6,,
1708,Owner,Make,Assignment,6,6,,
1710,Hemispherx,Assign,Agreement,1,6,,
1712,Monsanto,Have,Right,1,0,,
1713,Agent,Transfer,Right,7,0,,
1715,Agreement,Inure To,Benefit,6,6,,
1718,Right,Assigned By,Person,0,2,,
1719,Party,Subject To,License,0,0,,
1720,Agreement,Assigned By,Broker Dealer,6,6,,
1721,Surgical,Assign,Agreement,7,6,,
1724,Agreement,Binding Upon,Benefit,6,6,,
1725,Agreement,Assigned By,Party,6,0,,
1726,Party,Assign,Agreement,0,6,,
1727,Agreement,Binding Upon,Benefit,6,6,,
1729,Agreement,Assigned By,Ticket,6,8,,
1730,Agreement,Be Personal To,Party,6,0,,
1731,Detto,Assign,Right,1,0,,
1732,Agreement,Bind,Benefit,6,6,,
1733,Reseller,Acknowledge,Right,6,0,,
1734,Unreasonably  Reseller,Assign,Agreement,6,6,,
1735,Diversinet,Assign,Agreement,1,6,,
1736,Licensor,Subcontract,Service,7,5,,
1738,Party,Transfer,Right,0,0,,
1739,Agreement,Inure To,Benefit,6,6,,
1740,Party,Assign,Right,0,0,,
1741,Party,Assign,Supply Agreement,0,6,,
1742,Agreement,Be Assignable By,Party,6,0,,
1743,Party,Notify,Other  Party,0,0,,
1744,Healthgate,Transfer,Agreement,1,6,,
1745,Party,Assign,Development Agreement,0,6,,
1746,Agreement,Assigned By,Party,6,0,,
1747,Licensor,Assign,Agreement,7,6,,
1748,Quarterly Grant Number,Exceed,Fifteen Thousand,6,8,,
1749,Option,Assigned By,Professional Practitioner,6,7,,
1751,Agreement,Be Assignable By,Professional Practitioner,6,7,,
1752,Customer,Allow,Third Party Access,6,0,,
1753,Governing Law,Of,Nevada,0,4,,
1754,Governing Law,Of,"Ontario, Canada",0,4,,
1755,Governing Law,Of,Florida,0,4,,
1756,Governing Law,Of,New York,0,4,,
1757,Governing Law,Of,California,0,4,,
1758,Governing Law,Of,Tennessee,0,4,,
1759,Governing Law,Of,"England, United Kingdom; Wales, United Kingdom",0,4,,
1760,Governing Law,Of,Delaware,0,4,,
1761,Governing Law,Of,Ohio,0,4,,
1762,Governing Law,Of,Indiana,0,4,,
1763,Governing Law,Of,Texa,0,4,,
1764,Governing Law,Of,Michigan,0,4,,
1765,Governing Law,Of,Netherland,0,4,,
1766,Governing Law,Of,Iowa,0,4,,
1767,Governing Law,Of,Maryland,0,4,,
1768,Governing Law,Of,Israel,0,4,,
1769,Governing Law,Of,Colorado,0,4,,
1770,Governing Law,Of,Alabama,0,4,,
1771,Governing Law,Of,Spain,0,4,,
1772,Governing Law,Of,Taiwan,0,4,,
1774,Governing Law,Of,Virginia,0,4,,
1775,Governing Law,Of,Kansa,0,4,,
1776,Governing Law,Of,Illinois,0,4,,
1777,Governing Law,Of,England,0,4,,
,Governing Law,Of,United Nations Convention On Contract For The International Sale Of Goods,0,0,,
1778,Governing Law,Of,People'S Republic Of China,0,4,,
1779,Governing Law,Of,Texas; Singapore; Belgium,0,4,,
1780,Governing Law,Of,People'S Republic Of China,0,4,,
1781,Governing Law,Of,Washington,0,4,,
1782,Governing Law,Of,Illinois; New York,0,4,,
1783,Governing Law,Of,Pennsylvania,0,4,,
1784,Governing Law,Of,Germany,0,4,,
1785,Governing Law,Of,"Virginia, Texa",0,4,,
1786,Governing Law,Of,Connecticut,0,4,,
1787,Governing Law,Of,Georgia,0,4,,
1789,Governing Law,Of,California; The State In Which The Breach Occurs,0,4,,
1790,Governing Law,Of,Arizona,0,4,,
1791,Governing Law,Of,Hong Kong,0,4,,
1792,Governing Law,Of,United State,0,4,,
1793,Governing Law,Of,"British Columbia, Canada",0,4,,
1794,Governing Law,Of,Massachusett,0,4,,
1795,Governing Law,Of,The State In Which The Franchised Restaurant Is Located,0,4,,
,Governing Law,Of,The United States Trademark Act Of 1946,0,0,,
1796,Governing Law,Of,"England And Wales, Uk",0,4,,
1797,Governing Law,Of,Beijing,0,4,,
1798,Governing Law,Of,India,0,4,,
1799,Governing Law,Of,Minnesota,0,4,,
1800,Governing Law,Of,Oklahoma,0,4,,
1801,Governing Law,Of,New Jersey,0,4,,
1802,Governing Law,Of,Papua New Guinea,0,4,,
1803,Governing Law,Of,Wisconsin,0,4,,
1804,Governing Law,Of,Massachusetts; Netherland,0,4,,
1805,Governing Law,Of,Missouri,0,4,,
1806,Governing Law,Of,North Carolina,0,4,,
1807,Governing Law,Of,Colombia,0,4,,
1808,Governing Law,Of,Arkansa,0,4,,
1809,Governing Law,Of,"Province Of Ontario, Canada",0,4,,
1810,Governing Law,Of,Republic Of Kazakhstan,0,4,,
1811,Governing Law,Of,China,0,4,,
1812,Governing Law,Of,British Columbia,0,4,,
1813,Governing Law,Of,Japan,0,4,,
1814,Governing Law,Of,Italy,0,4,,
1815,Governing Law,Of,District Of Columbia,0,4,,
1816,Governing Law,Of,"Victoria, Australia",0,4,,
1817,Governing Law,Of,England And Wale,0,4,,
1818,Governing Law,Of,South Dakota,0,4,,
1819,Governing Law,Of,"Delaware, Illinois",0,4,,
1820,Governing Law,Of,Louisiana,0,4,,
1821,Governing Law,Of,"Nova Scotia, Canada",0,4,,
1822,Governing Law,Of,England; Wale,0,4,,
1823,Governing Law,Of,Switzerland,0,4,,
1824,Governing Law,Of,Republic Of South Africa,0,4,,
1825,Governing Law,Of,New York; Massachusset,0,4,,
1826,Governing Law,Of,Kentucky,0,4,,
1827,Governing Law,Of,California; Hong Kong,0,4,,
1828,Governing Law,Of,"British Columbia,Canada",0,4,,
1829,Governing Law,Of,Federal Republic Of Germany,0,4,,
